iter	Logloss
0	0.4295386858
1	0.4087415988
2	0.4032502143
3	0.4031998346
4	0.3963004036
5	0.3925529461
6	0.3766948941
7	0.3726566301
8	0.3497857629
9	0.3268543908
10	0.3037579291
11	0.296968073
12	0.2841662339
13	0.2693937707
14	0.2622342913
15	0.2414121812
16	0.2344613336
17	0.2289769641
18	0.2265918237
19	0.2223938974
20	0.215772823
21	0.2072028597
22	0.2049780558
23	0.1972694399
24	0.1956324675
25	0.1877939174
26	0.1825707336
27	0.1800173509
28	0.1761657594
29	0.1727646771
30	0.1716020212
31	0.1668950318
32	0.165335972
33	0.1629581871
34	0.1575759634
35	0.1525608894
36	0.1521677723
37	0.1468139295
38	0.144239133
39	0.1416431457
40	0.1383373186
41	0.1368919854
42	0.1367603715
43	0.1307164487
44	0.1276854198
45	0.1264338782
46	0.1252642694
47	0.123137371
48	0.1218657309
49	0.1213904936
50	0.1147565881
51	0.11388369
52	0.1130851447
53	0.1110907193
54	0.1099169429
55	0.1085708126
56	0.1082696168
57	0.1051663462
58	0.1031053366
59	0.1025573925
60	0.1006973056
61	0.09920505384
62	0.09846704143
63	0.09779610467
64	0.0973657669
65	0.09632268713
66	0.09478734021
67	0.09440902454
68	0.09358265452
69	0.09336604906
70	0.09311905133
71	0.09271479123
72	0.09249905926
73	0.09229765248
74	0.08873567308
75	0.08710467009
76	0.08565301499
77	0.08565298645
78	0.08534973426
79	0.08465054135
80	0.08435430713
81	0.08242753538
82	0.07905829379
83	0.07671990655
84	0.07502404901
85	0.07434101925
86	0.07352980242
87	0.07335359371
88	0.07308079503
89	0.0724517323
90	0.07025371807
91	0.06756942151
92	0.06706499115
93	0.06562886667
94	0.06530588655
95	0.06479497788
96	0.06475898658
97	0.06457392365
98	0.06431357461
99	0.06127779145
100	0.06069871394
101	0.06042319856
102	0.05942904315
103	0.05791933689
104	0.05765336689
105	0.0574498286
106	0.05740147327
107	0.05735810132
108	0.05700624735
109	0.05693863602
110	0.05518530748
111	0.0525224183
112	0.05086064121
113	0.04927411983
114	0.0490813933
115	0.04795432345
116	0.04635756201
