iter	Passed	Remaining
229	13824	46282
230	13887	46230
231	13945	46165
232	13996	46075
233	14060	46028
234	14120	45967
235	14175	45890
236	14240	45845
237	14298	45778
238	14353	45703
239	14405	45616
240	14456	45528
241	14507	45440
242	14573	45400
243	14628	45325
244	14680	45239
245	14747	45200
246	14805	45134
247	14856	45047
248	14909	44968
249	14974	44922
250	15025	44837
251	15092	44797
252	15157	44754
253	15215	44687
254	15271	44617
255	15327	44546
256	15380	44466
257	15447	44425
258	15505	44362
259	15557	44277
260	15620	44227
261	15670	44141
262	15722	44058
263	15788	44016
264	15855	43976
265	15906	43891
266	15977	43862
267	16029	43780
268	16083	43705
269	16145	43652
270	16215	43621
271	16282	43579
272	16353	43548
273	16402	43461
274	16468	43417
275	16524	43345
276	16576	43265
277	16626	43180
278	16677	43098
279	16732	43027
280	16794	42972
281	16852	42909
282	16910	42843
283	16971	42786
284	17031	42727
285	17083	42648
286	17141	42584
287	17193	42505
288	17256	42455
289	17307	42373
290	17368	42316
291	17418	42234
292	17470	42156
293	17522	42077
294	17574	41999
295	17630	41931
296	17695	41884
297	17746	41804
298	17830	41803
299	17894	41753
300	17946	41676
301	17996	41595
302	18055	41533
303	18107	41456
304	18159	41379
305	18224	41332
306	18280	41265
307	18333	41191
308	18391	41128
309	18443	41050
310	18498	40982
311	18562	40932
312	18612	40852
313	18663	40774
314	18734	40739
315	18784	40660
316	18845	40604
317	18897	40527
318	18954	40464
319	19010	40397
320	19061	40320
321	19112	40243
322	19166	40172
323	19221	40104
324	19282	40049
325	19334	39974
326	19408	39945
327	19463	39876
328	19518	39809
329	19569	39733
330	19621	39658
331	19683	39604
332	19734	39528
333	19785	39452
334	19860	39424
335	19915	39356
336	19966	39281
337	20027	39224
338	20085	39163
339	20139	39094
340	20190	39019
341	20242	38946
342	20303	38889
343	20355	38817
344	20420	38768
345	20474	38700
346	20540	38653
347	20602	38600
348	20664	38546
349	20731	38501
350	20787	38436
351	20837	38360
352	20903	38313
353	20954	38239
354	21008	38170
355	21061	38100
356	21112	38026
357	21163	37951
358	21231	37908
359	21283	37837
360	21334	37764
361	21385	37689
362	21449	37640
363	21514	37591
364	21580	37543
365	21629	37467
366	21696	37421
367	21748	37350
368	21815	37305
369	21887	37267
370	21958	37228
371	22016	37167
372	22074	37106
373	22125	37034
374	22197	36995
375	22247	36921
376	22296	36846
377	22355	36786
378	22406	36713
379	22469	36660
380	22520	36588
381	22572	36518
382	22627	36452
383	22684	36389
384	22735	36318
385	22790	36251
386	22840	36179
387	22906	36131
388	22957	36059
389	23009	35988
390	23064	35924
391	23117	35855
392	23170	35787
393	23236	35739
394	23296	35681
395	23347	35610
396	23401	35544
397	23477	35510
398	23534	35449
399	23589	35384
400	23642	35315
401	23692	35244
402	23751	35185
403	23818	35138
404	23873	35072
405	23930	35011
406	23989	34952
407	24043	34886
408	24094	34816
409	24147	34748
410	24202	34683
411	24256	34618
412	24308	34549
413	24359	34480
414	24411	34411
415	24488	34377
416	24542	34312
417	24597	34247
418	24653	34185
419	24704	34115
420	24754	34044
421	24804	33974
422	24857	33906
423	24938	33879
424	24989	33809
425	25045	33746
426	25113	33699
427	25164	33630
428	25231	33582
429	25280	33511
430	25337	33449
431	25388	33380
432	25441	33315
433	25515	33276
434	25572	33215
435	25628	33152
436	25684	33089
437	25746	33035
438	25803	32974
439	25857	32909
440	25908	32840
441	25966	32780
442	26022	32719
443	26080	32658
444	26142	32604
445	26204	32549
446	26272	32502
447	26323	32433
448	26385	32379
449	26436	32310
450	26487	32242
451	26552	32191
452	26613	32135
453	26677	32083
454	26734	32022
455	26799	31971
456	26849	31902
457	26909	31845
458	26973	31792
459	27075	31784
460	27125	31715
461	27180	31651
462	27252	31607
463	27305	31542
464	27370	31490
465	27422	31423
466	27479	31363
467	27531	31296
468	27592	31240
469	27654	31185
470	27715	31128
471	27781	31078
472	27836	31014
473	27887	30947
474	27954	30897
475	28026	30853
476	28085	30794
477	28136	30726
478	28194	30666
479	28245	30599
480	28297	30532
481	28358	30476
482	28444	30446
483	28501	30385
484	28568	30335
485	28629	30279
486	28691	30222
487	28743	30156
488	28808	30104
489	28863	30041
490	28918	29978
491	28984	29927
492	29046	29871
493	29102	29809
494	29168	29757
495	29230	29701
496	29294	29648
497	29349	29584
498	29408	29526
499	29465	29465
500	29532	29414
501	29583	29348
502	29665	29311
503	29719	29247
504	29774	29184
505	29834	29127
506	29889	29064
507	29948	29004
508	30011	28949
509	30074	28894
510	30154	28856
511	30219	28802
512	30277	28742
513	30346	28693
514	30408	28636
515	30468	28579
516	30525	28517
517	30576	28451
518	30634	28391
519	30699	28337
520	30760	28281
521	30812	28215
522	30867	28152
523	30918	28086
524	30979	28029
525	31032	27964
526	31082	27897
527	31159	27854
528	31225	27801
529	31278	27737
530	31342	27682
531	31411	27632
532	31475	27577
533	31527	27512
534	31578	27446
535	31634	27384
536	31706	27337
537	31759	27273
538	31809	27206
539	31869	27147
540	31921	27082
541	31975	27019
542	32027	26954
543	32078	26888
544	32160	26849
545	32212	26784
546	32262	26718
547	32313	26652
548	32380	26600
549	32440	26542
550	32500	26484
551	32553	26420
552	32616	26364
553	32673	26303
554	32740	26251
555	32789	26184
556	32857	26132
557	32912	26070
558	32963	26005
559	33014	25939
560	33064	25873
561	33120	25812
562	33182	25755
563	33243	25699
564	33294	25633
565	33350	25572
566	33404	25510
567	33467	25454
568	33526	25395
569	33593	25342
570	33648	25280
571	33705	25220
572	33765	25162
573	33822	25101
574	33874	25037
575	33936	24980
576	33998	24924
577	34055	24864
578	34122	24810
579	34183	24753
580	34243	24695
581	34314	24645
582	34379	24590
583	34442	24534
584	34505	24478
585	34575	24427
586	34643	24374
587	34699	24313
588	34775	24266
589	34836	24208
590	34895	24149
591	34948	24086
592	35032	24044
593	35095	23988
594	35165	23936
595	35225	23877
596	35301	23830
597	35363	23772
598	35428	23717
599	35503	23668
600	35565	23611
601	35621	23550
602	35686	23495
603	35755	23442
604	35826	23390
605	35885	23331
606	35944	23272
607	36001	23211
608	36067	23156
609	36127	23098
610	36185	23037
611	36252	22983
612	36333	22938
613	36394	22880
614	36464	22827
615	36535	22775
616	36598	22718
617	36656	22657
618	36726	22605
619	36797	22553
620	36874	22504
621	36935	22446
622	36991	22385
623	37050	22325
624	37126	22275
625	37183	22214
626	37255	22163
627	37341	22119
628	37413	22067
629	37480	22012
630	37537	21951
631	37616	21903
632	37682	21847
633	37740	21786
634	37797	21726
635	37891	21686
636	37955	21629
637	38012	21568
638	38068	21506
639	38126	21446
640	38190	21389
641	38246	21327
642	38305	21267
643	38382	21217
644	38496	21188
645	38568	21134
646	38625	21073
647	38683	21013
648	38743	20953
649	38806	20895
650	38881	20844
651	38961	20795
652	39022	20736
653	39080	20675
654	39140	20616
655	39204	20558
656	39262	20497
657	39326	20440
658	39397	20386
659	39471	20333
660	39540	20278
661	39615	20226
662	39671	20164
663	39735	20106
664	39809	20054
665	39879	19999
666	39937	19938
667	40032	19896
668	40102	19841
669	40160	19780
670	40231	19726
671	40306	19673
672	40366	19613
673	40426	19553
674	40508	19503
675	40572	19445
676	40629	19384
677	40686	19323
678	40743	19261
679	40805	19202
680	40862	19141
681	40925	19082
682	41015	19036
683	41072	18975
684	41140	18918
685	41198	18857
686	41267	18801
687	41341	18747
688	41401	18687
689	41490	18640
690	41548	18579
691	41615	18522
692	41681	18465
693	41742	18405
694	41800	18343
695	41857	18282
696	41914	18221
697	42001	18172
698	42075	18118
699	42129	18055
700	42199	17999
701	42259	17939
702	42328	17882
703	42385	17821
704	42476	17773
705	42546	17717
706	42621	17663
707	42679	17602
708	42756	17548
709	42824	17491
710	42896	17436
711	42955	17375
712	43036	17323
713	43099	17263
714	43158	17203
715	43229	17146
716	43291	17087
717	43355	17028
718	43412	16966
719	43483	16910
720	43566	16858
721	43637	16802
722	43709	16746
723	43766	16684
724	43838	16628
725	43906	16570
726	43979	16515
727	44046	16456
728	44126	16403
729	44183	16341
730	44245	16281
731	44306	16221
732	44363	16159
733	44420	16098
734	44480	16037
735	44550	15980
736	44616	15921
737	44688	15864
738	44759	15808
739	44822	15748
740	44880	15687
741	44937	15625
742	45007	15567
743	45084	15512
744	45142	15451
745	45201	15390
746	45279	15335
747	45352	15279
748	45409	15217
749	45480	15160
750	45560	15105
751	45618	15044
752	45679	14983
753	45740	14923
754	45816	14867
755	45883	14808
756	45944	14748
757	46007	14688
758	46075	14630
759	46170	14580
760	46234	14520
761	46301	14461
762	46364	14401
763	46420	14339
764	46492	14282
765	46561	14223
766	46637	14167
767	46693	14105
768	46774	14050
769	46832	13988
770	46905	13931
771	46975	13873
772	47035	13812
773	47093	13750
774	47268	13723
775	47339	13664
776	47392	13601
777	47461	13542
778	47522	13482
779	47579	13419
780	47633	13357
781	47700	13297
782	47787	13243
783	47846	13182
784	47918	13124
785	47988	13065
786	48049	13004
787	48116	12944
788	48174	12883
789	48252	12826
790	48330	12770
791	48406	12712
792	48483	12655
793	48542	12594
794	48614	12535
795	48678	12475
796	48749	12416
797	48825	12359
798	48901	12301
799	48970	12242
800	49045	12184
801	49105	12123
802	49161	12060
803	49236	12002
804	49326	11948
805	49384	11886
806	49443	11824
807	49503	11763
808	49575	11704
809	49636	11643
810	49698	11581
811	49786	11527
812	49846	11465
813	49922	11407
814	49997	11349
815	50054	11286
816	50126	11227
817	50200	11169
818	50260	11107
819	50342	11050
820	50416	10992
821	50474	10930
822	50542	10870
823	50615	10810
824	50672	10748
825	50739	10688
826	50851	10637
827	50910	10575
828	50984	10516
829	51042	10454
830	51118	10395
831	51175	10333
832	51233	10271
833	51298	10210
834	51387	10154
835	51457	10094
836	51512	10031
837	51572	9969
838	51649	9911
839	51715	9850
840	51772	9788
841	51843	9728
842	51904	9666
843	51974	9606
844	52044	9546
845	52112	9486
846	52191	9427
847	52258	9367
848	52316	9304
849	52423	9251
850	52486	9189
851	52560	9130
852	52625	9069
853	52686	9007
854	52747	8945
855	52827	8886
856	52932	8832
857	53003	8772
858	53065	8710
859	53135	8649
860	53203	8589
861	53260	8526
862	53319	8464
863	53376	8401
864	53479	8346
865	53562	8287
866	53623	8226
867	53686	8164
868	53757	8103
869	53823	8042
870	53909	7984
871	53970	7922
872	54049	7862
873	54114	7801
874	54189	7741
875	54263	7681
876	54334	7620
877	54397	7558
878	54486	7500
879	54561	7440
880	54635	7379
881	54705	7318
882	54779	7258
883	54836	7195
884	54900	7134
885	54991	7075
886	55053	7013
887	55120	6952
888	55199	6892
889	55257	6829
890	55317	6767
891	55384	6705
892	55442	6643
893	55501	6580
894	55589	6521
895	55658	6460
896	55723	6398
897	55785	6336
898	55859	6275
899	55923	6213
900	55997	6152
901	56074	6092
902	56136	6030
903	56197	5967
904	56256	5905
905	56318	5843
906	56392	5782
907	56464	5721
908	56549	5661
909	56607	5598
910	56672	5536
911	56738	5474
912	56803	5412
913	56878	5351
914	56952	5290
915	57034	5230
916	57095	5167
917	57152	5105
918	57209	5042
919	57278	4980
920	57341	4918
921	57416	4857
922	57487	4795
923	57574	4735
924	57647	4674
925	57711	4611
926	57783	4550
927	57843	4487
928	57898	4425
929	57960	4362
930	58047	4302
931	58103	4239
932	58162	4176
933	58242	4115
934	58308	4053
935	58376	3991
936	58432	3928
937	58511	3867
938	58589	3806
939	58649	3743
940	58721	3681
941	58786	3619
942	58860	3557
943	58917	3495
944	58974	3432
945	59055	3371
946	59115	3308
947	59185	3246
948	59242	3183
949	59312	3121
950	59370	3059
951	59427	2996
952	59494	2934
953	59554	2871
954	59652	2810
955	59723	2748
956	59792	2686
957	59852	2624
958	59909	2561
959	59984	2499
960	60048	2436
961	60129	2375
962	60186	2312
963	60260	2250
964	60323	2187
965	60384	2125
966	60444	2062
967	60516	2000
968	60600	1938
969	60702	1877
970	60782	1815
971	60876	1753
972	60955	1691
973	61025	1629
974	61082	1566
975	61170	1504
976	61229	1441
977	61315	1379
978	61388	1316
979	61462	1254
980	61534	1191
981	61593	1129
982	61661	1066
983	61759	1004
984	61815	941
985	61871	878
986	61943	815
987	62022	753
988	62079	690
989	62135	627
990	62217	565
991	62290	502
992	62355	439
993	62425	376
994	62484	313
995	62562	251
996	62623	188
997	62690	125
998	62777	62
999	62839	0
